DR,Codigo_Unidade,Endereco_Cidade,nome,nome_cid,codigo_ibge
RJ,417,TERESOPOLIS,Teresopolis,TERESOPOLIS,3305802.0
RJ,418,TRES RIOS,Tres Rios,TRES RIOS,3306008.0
RJ,430,RESENDE,Resende,RESENDE,3304201.0
RJ,437,VOLTA REDONDA,Volta Redonda,VOLTA REDONDA,3306305.0
RJ,451,RIO DE JANEIRO,Rio de Janeiro,RIO DE JANEIRO,3304557.0
RJ,453,RIO DE JANEIRO,Rio de Janeiro,RIO DE JANEIRO,3304557.0
RJ,500,RIO DE JANEIRO,Rio de Janeiro,RIO DE JANEIRO,3304557.0
RJ,503,RIO DE JANEIRO,Rio de Janeiro,RIO DE JANEIRO,3304557.0
RJ,530,RIO DE JANEIRO,Rio de Janeiro,RIO DE JANEIRO,3304557.0
ES,49,SÃO MATEUS,Sao Mateus,SAO MATEUS,3204906.0
ES,51,VITÓRIA,Vitoria,VITORIA,3205309.0
MS,44,CORUMBA,Corumba,CORUMBA,5003207.0
MS,45,DOURADOS,Dourados,DOURADOS,5003702.0
MS,48,CAMPO GRANDE,Campo Grande,CAMPO GRANDE,2701506.0
MS,48,CAMPO GRANDE,Campo Grande,CAMPO GRANDE,5002704.0
RR,1178,BOA VISTA,Boa Vista,BOA VISTA,1400100.0
RR,1178,BOA VISTA,Boa Vista,BOA VISTA,2502151.0
RR,3437,BOA VISTA,Boa Vista,BOA VISTA,1400100.0
RR,3437,BOA VISTA,Boa Vista,BOA VISTA,2502151.0
RR,3569,BOA VISTA,Boa Vista,BOA VISTA,1400100.0
RR,3569,BOA VISTA,Boa Vista,BOA VISTA,2502151.0
RR,3623,RORAINÓPOLIS,Rorainopolis,RORAINOPOLIS,1400472.0
RR,3659,IRACEMA,Iracema,IRACEMA,1400282.0
RR,3659,IRACEMA,Iracema,IRACEMA,2306009.0
SP,102,SÃO PAULO,Sao Paulo,SAO PAULO,3550308.0
SP,103,SÃO PAULO,Sao Paulo,SAO PAULO,3550308.0
SP,105,JABOTICABAL,Jaboticabal,JABOTICABAL,3524303.0
SC,40,ARARANGUÁ,Ararangua,ARARANGUA,4201406.0
SC,41,CAMPOS NOVOS,Campos Novos,CAMPOS NOVOS,4203600.0
RS,63,PORTO ALEGRE,Porto Alegre,PORTO ALEGRE,4314902.0
RS,64,SANTA CRUZ DO SUL,Santa Cruz do Sul,SANTA CRUZ DO SUL,4316808.0
RS,66,PORTO ALEGRE,Porto Alegre,PORTO ALEGRE,4314902.0
RS,67,GRAVATAÍ,Gravatai,GRAVATAI,4309209.0
RS,68,SÃO BORJA,Sao Borja,SAO BORJA,4318002.0
RS,69,TRAMANDAÍ,Tramandai,TRAMANDAI,4321600.0
RS,71,CACHOEIRA DO SUL,Cachoeira do Sul,CACHOEIRA DO SUL,4303004.0
RS,72,TAQUARA,Taquara,TAQUARA,4321204.0
RS,73,CAMAQUÃ,Camaqua,CAMAQUA,4303509.0
RS,74,MONTENEGRO,Montenegro,MONTENEGRO,4312401.0
RS,75,TORRES,Torres,TORRES,4321501.0
RS,77,PORTO ALEGRE,Porto Alegre,PORTO ALEGRE,4314902.0
RS,78,PELOTAS,Pelotas,PELOTAS,4314407.0
RS,79,SANTANA DO LIVRAMENTO,,SANTANA DO LIVRAMENTO,4317103.0
RS,81,VIAMÃO,Viamao,VIAMAO,4323002.0
RS,82,GRAMADO,Gramado,GRAMADO,4309100.0
RS,83,PORTO ALEGRE,Porto Alegre,PORTO ALEGRE,4314902.0
SP,53,CAMPINAS,Campinas,CAMPINAS,3509502.0
SP,54,CATANDUVA,Catanduva,CATANDUVA,3511102.0
SP,55,GUARATINGUETÁ,Guaratingueta,GUARATINGUETA,3518404.0
SP,56,MARÍLIA,Marilia,MARILIA,3529005.0
